193.706.842-04;Maysa Costela;1975-08-27;Roberto Carlos;2024-09-16;Pista;131.43
608.514.239-06;Sra. Ana Luiza da Conceição;1967-09-13;Caetano Veloso;2024-12-10;Pista;146.21
379.802.561-40;Sr. Caio da Mata;2003-05-11;Caetano Veloso;2024-11-20;VIP;447.99
472.809.135-04;Anthony Fogaça;1999-05-12;Rock in Rio;2024-11-02;Camarote;206.79
913.780.456-10;Ana Vitória Santos;1969-06-15;Rock in Rio;2024-12-02;Camarote;235.88
541.389.720-05;Sr. Vitor Hugo Ferreira;1971-01-07;Rock in Rio;2024-08-26;Arquibancada;172.77
641.908.325-70;Sr. Vitor Gabriel Costa;1951-08-27;Caetano Veloso;2024-08-20;Pista Premium;395.42
540.861.927-30;Danilo Correia;1985-05-19;Ivete Sangalo;2024-11-14;VIP;428.32
539.726.841-00;Joaquim Campos;1990-09-12;Anitta;2024-12-27;Camarote;283.4
185.347.069-48;Maria Sophia Silva;1975-12-05;Caetano Veloso;2024-08-08;VIP;442.98
283.704.165-35;João Vitor das Neves;1984-10-27;Ivete Sangalo;2024-08-18;Pista;147.9
029.784.356-74;Lorenzo Oliveira;1990-10-13;Anitta;2024-11-05;Arquibancada;193.04
024.865.371-71;Samuel da Cunha;1973-01-09;Ivete Sangalo;2024-09-26;VIP;446.42
693.840.512-33;Felipe Alves;1992-05-17;Anitta;2024-08-24;Arquibancada;180.8
467.915.082-30;Levi Castro;1980-08-03;Rock in Rio;2024-08-13;Arquibancada;182.44
980.524.137-88;Amanda Gomes;1949-01-05;Ivete Sangalo;2024-08-25;Pista;138.2
263.570.814-26;Carolina Martins;1989-03-01;Roberto Carlos;2024-10-01;Arquibancada;177.52
584.120.937-04;Thiago Campos;1981-03-26;Anitta;2024-11-08;Arquibancada;159.91
087.251.963-59;Maria Eduarda da Costa;2006-10-30;Roberto Carlos;2024-10-15;VIP;403.03
594.820.173-23;Vicente Mendes;2005-01-01;Anitta;2024-11-29;Pista;147.37
712.509.648-49;Leandro Nogueira;1977-09-27;Caetano Veloso;2024-09-27;Pista;121.58
514.396.082-70;Raquel Gonçalves;1990-07-24;Rock in Rio;2024-12-15;Arquibancada;197.72
647.528.930-29;Júlia Vieira;1996-09-11;Rock in Rio;2024-08-26;Pista;107.64
296.840.517-94;Nicolas da Luz;1990-06-01;Caetano Veloso;2024-09-13;VIP;455.07
298.473.061-50;Sophie Oliveira;1969-02-25;Caetano Veloso;2024-10-31;Pista;125.04
847.350.629-47;João Lucas Araújo;1999-11-11;Roberto Carlos;2024-11-25;Arquibancada;179.97
635.472.091-61;Caio Araújo;1959-02-28;Anitta;2024-08-06;Arquibancada;152.46
578.692.143-37;Sr. Miguel Araújo;1962-12-29;Anitta;2024-10-21;Pista;106.77
073.926.451-61;Dr. Thiago Fogaça;1951-03-21;Ivete Sangalo;2024-11-11;Pista Premium;377.52
872.960.531-86;Sra. Helena Monteiro;1953-02-18;Anitta;2024-12-07;Camarote;244.55
204.356.871-07;Mariana da Conceição;1993-06-04;Anitta;2024-09-25;Arquibancada;160.19
845.730.629-47;Pedro Henrique Caldeira;1976-09-03;Caetano Veloso;2024-09-08;Pista;134.67
178.639.452-91;Milena Lopes;1947-08-19;Ivete Sangalo;2024-09-12;VIP;431.25
541.807.396-66;Samuel Souza;1997-11-01;Anitta;2024-12-21;Pista Premium;360.17
698.140.752-30;Danilo Gomes;1969-04-01;Ivete Sangalo;2024-11-21;VIP;446.84
